access-location,nanoseconds
arr[28520],1404
arr[232163],1422
arr[200531],1428
arr[211233],1422
arr[38408],1314
arr[107920],1368
arr[39671],1374
arr[1656],1404
arr[227741],1434
arr[131572],1440
arr[246856],1368
arr[236970],1428
arr[166792],1302
arr[113399],1416
arr[78735],1320
arr[220787],1416
arr[5422],1392
arr[240473],1344
arr[6993],1422
arr[25434],1404
arr[71150],1404
arr[139576],1422
arr[190093],1476
arr[215273],1338
arr[42908],1392
arr[195300],1590
arr[148822],1476
arr[152169],1446
arr[105738],1416
arr[150435],1410
arr[119855],1500
arr[134259],1416
arr[132598],1416
arr[86738],1320
arr[111844],1356
arr[187359],1434
arr[211010],1398
arr[151515],1440
arr[189015],1386
arr[188751],1416
arr[49439],1374
arr[202223],1398
arr[192074],1446
arr[232584],1410
arr[81974],1398
arr[37161],1434
arr[203371],1374
arr[87396],1392
arr[27634],1380
arr[210364],1416
arr[112830],1416
arr[98784],1692
arr[116292],1296
arr[69276],1494
arr[80410],1398
arr[159200],1446
arr[14576],1428
arr[229232],1374
arr[77721],1332
arr[136667],1398
arr[146019],1446
arr[213928],1338
arr[20926],1464
arr[44969],1398
arr[50667],1416
arr[132770],1398
arr[232328],1368
arr[28029],1380
arr[50637],1410
arr[187695],1458
arr[233133],1434
arr[100077],1428
arr[139918],1428
arr[175207],1482
arr[99013],2580
arr[221893],2088
arr[228720],1542
arr[52384],1626
arr[59289],1878
arr[6355],1392
arr[12748],1464
arr[188472],1992
arr[105139],1578
arr[145392],1602
arr[7748],1626
arr[185549],1416
arr[54592],1458
arr[38676],1446
arr[181133],1494
arr[148666],1470
arr[175343],1614
arr[77152],1398
arr[112594],1536
arr[212621],1476
arr[138474],1524
arr[179613],1410
arr[111743],1422
arr[120802],1572
arr[207643],1572
arr[162381],1464
arr[58498],1422
arr[190776],1518
arr[28810],1434
arr[214768],1404
arr[132335],1398
arr[127823],1662
arr[186661],1410
arr[111055],1416
arr[180207],1272
arr[12303],1410
arr[117410],1446
arr[209307],1674
arr[217127],1542
arr[238902],1512
arr[104699],1836
arr[241227],1404
arr[190803],1488
arr[175643],1524
arr[29903],1458
arr[138289],1446
arr[90661],1494
arr[221599],1470
arr[231793],1500
arr[203256],1452
arr[184220],1440
arr[120267],28362
arr[132869],1638
arr[45964],1464
arr[7422],1896
arr[106864],1956
arr[224697],1542
arr[65920],1602
arr[63992],1392
arr[3507],1404
arr[47040],1404
arr[196327],1566
arr[147682],1428
arr[233702],1398
arr[73735],1764
arr[94241],1488
arr[12357],1410
arr[207497],1290
arr[69900],1428
arr[229484],1368
arr[212751],1464
arr[190951],1446
arr[220711],1470
arr[153555],1404
arr[132946],1392
arr[16966],1530
arr[58196],1398
arr[223608],1410
arr[4917],1398
arr[39989],1602
arr[176864],1410
arr[189138],1404
arr[176609],1440
arr[76085],1446
arr[1454],1458
arr[184031],1458
arr[182950],1704
arr[242503],1398
arr[16303],1368
arr[13294],1452
arr[12362],1332
arr[63343],1398
arr[209622],1386
arr[160044],1404
arr[63397],1422
arr[49709],1374
arr[20637],1398
arr[75754],1434
arr[7206],1416
arr[90537],1410
arr[71590],1434
arr[219958],1434
arr[31488],1392
arr[58653],1368
arr[139865],1440
arr[164434],1440
arr[91972],1434
arr[198061],1452
arr[138042],1404
arr[96889],1446
arr[4402],1446
arr[81258],1440
arr[52379],1290
arr[197363],1452
arr[157344],1392
arr[70185],1404
arr[147746],1458
arr[106646],1386
arr[62688],1536
arr[164049],1428
arr[119940],1446
arr[75050],1626
arr[243745],1434
arr[95914],1422
arr[1446],1458
arr[57142],1404
arr[145623],1428
arr[22083],1392
arr[149249],1320
arr[169182],1482
arr[128972],1398
arr[237191],1428
arr[139140],1428
arr[176812],1464
arr[62197],1392
arr[45357],1386
arr[91247],1398
arr[154169],1314
arr[9770],1452
arr[245641],1416
arr[1058],1458
arr[14172],1392
arr[76900],1326
arr[69790],1446
arr[227888],1320
arr[596],1374
arr[139975],1458
arr[125634],1464
arr[123594],1380
arr[219016],1428
arr[56036],1428
arr[243534],1428
arr[60418],1380
arr[49781],1404
arr[105801],1404
arr[61865],1422
arr[123275],1278
arr[17776],1422
arr[100300],1482
arr[38876],1452
arr[186958],1368
arr[229273],1512
arr[26068],1362
arr[92450],1410
arr[156085],1404
arr[88265],1446
arr[137807],1380
arr[13684],1410
arr[8786],1416
arr[147577],1446
arr[25678],1392
arr[26196],1416
arr[178102],1428
arr[118930],1446
arr[95986],1404
arr[172342],1578
arr[119526],1446
arr[2314],1464
arr[47976],1608
arr[9472],1464
arr[221330],1494
arr[120364],1410
arr[19358],1446
arr[31748],1404
arr[170145],1434
arr[125159],1434
arr[109965],1434
arr[59773],1446
arr[159288],1422
arr[210266],1398
arr[115001],1428
arr[96246],1386
arr[205891],1470
arr[141069],1386
arr[205049],1410
arr[128328],1416
arr[245686],1350
arr[109208],1434
arr[158365],1404
arr[20824],1362
arr[23138],1440
arr[200395],1458
arr[47021],1446
arr[201240],1416
arr[69325],1404
arr[159359],1416
arr[139934],1482
arr[205203],1386
arr[161673],1446
arr[187910],1416
arr[214675],1410
arr[149355],1308
arr[58275],1398
arr[234033],1350
arr[197456],1284
arr[244772],1458
arr[125545],1380
arr[57421],1404
arr[70897],1446
arr[34833],1446
arr[34039],1404
arr[185899],1422
arr[147431],1440
arr[6282],1440
arr[93320],1422
arr[102480],1452
arr[150963],1452
arr[105359],1440
arr[228041],1614
arr[75680],1440
arr[126183],1386
arr[1179],1392
arr[26075],1344
arr[189556],1416
arr[218771],1434
arr[95400],1656
arr[98916],1536
arr[108705],1470
arr[50603],1404
arr[26941],1524
arr[62967],1368
arr[31630],1392
